iter	RMSE
0	0.7008365334
1	0.6546463081
2	0.6131710299
3	0.5771358385
4	0.5458169549
5	0.5182189505
6	0.4933356416
7	0.4715380428
8	0.4528127096
9	0.4369519207
10	0.4233386978
11	0.4114233886
12	0.4017187345
13	0.3929053717
14	0.3857034534
15	0.3789804368
16	0.3732150277
17	0.3683151467
18	0.3638495105
19	0.3603939639
20	0.3573970077
21	0.3547621034
22	0.3523894131
23	0.3503831962
24	0.3485442668
25	0.3469362024
26	0.3449969209
27	0.3434981638
28	0.3422495984
29	0.3408537464
30	0.3399501532
31	0.3389556107
32	0.3381465308
33	0.3375564321
34	0.3368713874
35	0.3360480977
36	0.3354278331
37	0.3348859687
38	0.3343885856
39	0.3336316527
40	0.3331301743
41	0.3326196679
42	0.332171524
43	0.3316844301
44	0.3312805092
45	0.3309359735
46	0.3304352002
47	0.3301216297
48	0.3298458316
49	0.3295106008
50	0.3292393565
51	0.3289355599
52	0.328593982
53	0.3283463969
54	0.3279517927
55	0.3276421941
56	0.3273666388
57	0.3271598193
58	0.3269233712
59	0.326623484
60	0.3264149293
61	0.3261888688
62	0.3259162946
63	0.3257152047
64	0.325471873
65	0.3251564011
66	0.3248751665
67	0.3248107882
68	0.3246191236
69	0.3244019483
70	0.3241175062
71	0.3238580546
72	0.3237162792
73	0.3234035147
74	0.3231911673
75	0.3229065028
76	0.3227747749
77	0.3225970522
78	0.3224125811
79	0.322260902
80	0.3220922686
81	0.3219310746
82	0.3217847068
83	0.3215799058
84	0.3213598528
85	0.3211186088
86	0.3209585008
87	0.3208222301
88	0.3206126818
89	0.3202997743
90	0.3199875292
91	0.3197313183
92	0.3194965572
93	0.3193840756
94	0.3191782715
95	0.3190220636
96	0.3189177532
97	0.3187744865
98	0.3186024773
99	0.3184413782
100	0.3182737945
101	0.3180561574
102	0.3179274269
103	0.3177407198
104	0.3174934525
105	0.3173826669
106	0.3172934616
107	0.3170361314
108	0.3168718085
109	0.3166272281
110	0.3164925503
111	0.3163517087
112	0.3162215241
113	0.3160797994
114	0.3159361337
115	0.3158157764
116	0.3157110193
117	0.3154675577
118	0.3152877921
119	0.3150889639
120	0.3149246778
121	0.3147695535
122	0.3146346678
123	0.3145001492
124	0.3143111905
125	0.3142248121
126	0.3139464189
127	0.3138036352
128	0.3136076309
129	0.3133756295
130	0.3132075679
131	0.3129574373
132	0.3127980627
133	0.3126650632
134	0.3125109011
135	0.312382893
136	0.3122258727
137	0.3120282001
138	0.3119218419
139	0.311791623
140	0.3116197038
141	0.3114532656
142	0.3112127954
143	0.3109891366
144	0.3108407853
145	0.3107041509
146	0.3105748408
147	0.3104683178
148	0.3102623472
149	0.3100892069
150	0.3099133179
151	0.3097895037
152	0.3096545151
153	0.3094835812
154	0.3092737333
155	0.3091932282
156	0.3090885215
157	0.3089559737
158	0.3088066766
159	0.3086572662
160	0.308559645
161	0.3084749986
162	0.3083731669
163	0.308281331
164	0.3081124317
165	0.3079113775
166	0.3078040076
167	0.3076371596
168	0.3075645701
169	0.3074146188
170	0.3073505017
171	0.3072207164
172	0.3070473328
173	0.3069391926
174	0.3068329793
175	0.3066993989
176	0.3065926149
177	0.3064620803
178	0.3062698881
179	0.3061658035
180	0.3060162842
181	0.3059114797
182	0.3058333883
183	0.3057071317
184	0.3055702724
185	0.3054283267
186	0.305281785
187	0.3052023162
188	0.3050803628
189	0.3049127702
190	0.3048124948
191	0.3046732517
192	0.3045391918
193	0.3044477124
194	0.3044124621
195	0.3041874058
196	0.3040981387
197	0.3040080194
198	0.3037795184
199	0.3036776784
200	0.3035350777
201	0.3034616238
202	0.3033806521
203	0.3032582225
204	0.3031323305
205	0.3030251898
206	0.3029297465
207	0.302792555
208	0.3027129544
209	0.3026238091
210	0.3025009597
211	0.3023233412
212	0.302242896
213	0.3021477645
214	0.302053861
215	0.3019650046
216	0.3018292614
217	0.3018011833
218	0.301713453
219	0.30162765
220	0.3014183229
221	0.3011101371
222	0.3008979713
223	0.3008334718
224	0.3007847027
225	0.3007323383
226	0.3005959991
227	0.300453649
228	0.3002252183
229	0.3001267766
230	0.3000307005
231	0.2999813665
232	0.2999158179
233	0.2998668189
234	0.2997388585
235	0.2996237021
236	0.2994710776
237	0.2993426728
238	0.2992964139
239	0.2992394004
240	0.2991997479
241	0.2991219154
242	0.299061979
243	0.2989845139
244	0.2988902261
245	0.2987626384
246	0.2986772034
247	0.298492807
248	0.2983756731
249	0.2982871004
250	0.2980853446
251	0.2980189984
252	0.2979180621
253	0.2978322464
254	0.297780489
255	0.2977061209
256	0.2976109707
257	0.2975506179
258	0.29748388
259	0.2974183352
260	0.2972628506
261	0.297211923
262	0.2971417186
263	0.2970396298
264	0.2969707254
265	0.296936475
266	0.2968576688
267	0.2967244833
268	0.2966423796
269	0.2966028551
270	0.2965132509
271	0.2964953612
272	0.2963072589
273	0.2962260725
274	0.2961029557
275	0.2960436642
276	0.2959066289
277	0.2958232003
278	0.295769893
279	0.2955871074
280	0.2955133555
281	0.2954472765
282	0.2954009841
283	0.2952680991
284	0.2951938877
285	0.2951352096
286	0.2950378418
287	0.294930302
288	0.2948127201
289	0.2947287317
290	0.2946614843
291	0.2945941483
292	0.2945374859
293	0.2944553765
294	0.2944065857
295	0.2943359166
296	0.2942850875
297	0.2942314155
298	0.2940975785
299	0.2939892822
300	0.2938840668
301	0.2938240667
302	0.2937581227
303	0.2937148908
304	0.2936146424
305	0.2935129974
306	0.2934640638
307	0.2933548021
308	0.2933074467
309	0.293217596
310	0.2930626378
311	0.2929813064
312	0.2929127017
313	0.2928437681
314	0.2927246359
315	0.2926712245
316	0.2925862186
317	0.2925011362
318	0.2924350601
319	0.2923791247
320	0.2923077681
321	0.2922271803
322	0.2921489487
323	0.2920692589
324	0.2919932476
325	0.2919208839
326	0.291865037
327	0.291826828
328	0.2917767173
329	0.2915771624
330	0.2915095487
331	0.2914041378
332	0.2913203543
333	0.2912558624
334	0.2911864228
335	0.2911275818
336	0.2910623286
337	0.2909775454
338	0.290842072
339	0.2907659677
340	0.2907131386
341	0.2906790927
342	0.2905457088
343	0.2904871014
344	0.2904433289
345	0.2903705426
346	0.2902764113
347	0.2901742867
348	0.290125536
349	0.2900473807
350	0.2899305531
351	0.2898292362
352	0.2897141258
353	0.2896525328
354	0.2895751519
355	0.2895317607
356	0.2894613064
357	0.2893564687
358	0.2892781464
359	0.2892356038
360	0.2891841467
361	0.2891268858
362	0.2890898654
363	0.2890077507
364	0.2888867843
365	0.2888236244
366	0.2886945413
367	0.2886089223
368	0.2885249456
369	0.2884762884
370	0.2884166084
371	0.288342293
372	0.2882284255
373	0.2881715641
374	0.2880270799
375	0.2879913157
376	0.2879150895
377	0.2878109453
378	0.2877691205
379	0.2877187638
380	0.2876804943
381	0.2876490848
382	0.2875150404
383	0.2873821406
384	0.2873336353
385	0.2872514768
386	0.2871755541
387	0.2871059507
388	0.2870668136
389	0.2870168894
390	0.2869694497
391	0.2869222893
392	0.2868706502
393	0.2867601997
394	0.2867313037
395	0.286662403
396	0.2865755924
397	0.286549626
398	0.2864871621
399	0.2863753884
400	0.2863018051
401	0.2862627477
402	0.2861419585
403	0.2860874426
404	0.2860371531
405	0.2859261758
406	0.285829683
407	0.2857896538
408	0.2857219136
409	0.2856883272
410	0.285602117
411	0.2854882043
412	0.2854245588
413	0.2853428493
414	0.2852952903
415	0.2852132601
416	0.2851172734
417	0.2850885844
418	0.285032956
419	0.2849862612
420	0.2849102101
421	0.2848194473
422	0.2847525091
423	0.2846562939
424	0.284555664
425	0.2845154591
426	0.2844559749
427	0.2843788412
428	0.2842944236
429	0.284227887
430	0.2841956696
431	0.2841641703
432	0.2840799874
433	0.2840058773
434	0.283957838
435	0.2839296594
436	0.2838998225
437	0.2837453494
438	0.2836808932
439	0.2835910313
440	0.2835275304
441	0.2834774202
442	0.2833995191
443	0.2833238041
444	0.2832778885
445	0.2832297001
446	0.2831945369
447	0.283130512
448	0.2830595583
449	0.2829906598
450	0.282938383
451	0.2828452069
452	0.2827573448
453	0.2826993886
454	0.2826207266
455	0.2825939669
456	0.2825297941
457	0.2824792263
458	0.2824482527
459	0.2823117171
460	0.2822917856
461	0.2822316954
462	0.2822064419
463	0.2820839796
464	0.2820361372
465	0.2819370266
466	0.2818725966
467	0.2818094932
468	0.2817566154
469	0.2816925644
470	0.2816479964
471	0.2816120556
472	0.2815674533
473	0.2815036716
474	0.2814354584
475	0.2813689955
476	0.2813130064
477	0.2812837414
478	0.2812543183
479	0.2812007026
480	0.2811723237
481	0.2811205413
482	0.2810646059
483	0.2810366231
484	0.2809697883
485	0.2809195504
486	0.2808619109
487	0.2808148399
488	0.2807804775
489	0.2807407417
490	0.2806996279
491	0.2806499714
492	0.2806005074
493	0.280540843
494	0.280476299
495	0.280372997
496	0.2803328825
497	0.280296267
498	0.2802408162
499	0.2802124891
