iter	Passed	Remaining
0	4	2178
1	8	2154
2	12	2020
3	15	1960
4	19	1949
5	26	2155
6	30	2131
7	34	2102
8	38	2086
9	41	2051
10	45	2025
11	49	1999
12	53	1991
13	56	1968
14	60	1953
15	63	1935
16	68	1943
17	72	1945
18	76	1941
19	80	1937
20	85	1939
21	88	1931
22	92	1916
23	96	1905
24	99	1897
25	103	1889
26	107	1879
27	110	1868
28	114	1864
29	118	1860
30	122	1850
31	125	1842
32	129	1839
33	134	1846
34	138	1843
35	142	1842
36	146	1838
37	151	1840
38	155	1836
39	159	1831
40	162	1824
41	167	1824
42	171	1821
43	175	1822
44	180	1822
45	184	1821
46	188	1816
47	192	1812
48	197	1813
49	201	1813
50	205	1808
51	209	1802
52	213	1798
53	218	1801
54	222	1796
55	226	1792
56	230	1790
57	234	1783
58	237	1776
59	241	1771
60	245	1766
61	249	1764
62	253	1758
63	256	1749
64	260	1744
65	265	1742
66	268	1737
67	271	1725
68	275	1721
69	279	1719
70	284	1716
71	288	1713
72	292	1710
73	297	1711
74	301	1709
75	304	1700
76	308	1692
77	312	1689
78	316	1684
79	319	1679
80	323	1673
81	327	1670
82	331	1665
83	335	1660
84	338	1653
85	342	1647
86	346	1643
87	349	1636
88	353	1630
89	356	1623
90	360	1620
91	364	1616
92	368	1610
93	371	1603
94	375	1601
95	379	1596
96	383	1591
97	386	1585
98	389	1579
99	394	1577
100	397	1571
101	401	1564
102	404	1559
103	408	1555
104	412	1550
105	415	1545
106	418	1538
107	422	1533
108	426	1529
109	429	1524
110	433	1518
111	436	1512
112	440	1507
113	443	1501
114	446	1495
115	450	1490
116	453	1484
117	457	1482
118	462	1479
119	465	1474
120	468	1468
121	472	1462
122	476	1459
123	480	1455
124	483	1451
125	486	1445
126	490	1440
127	493	1434
128	497	1430
129	500	1424
130	504	1419
131	507	1415
132	511	1410
133	514	1404
134	517	1399
135	521	1395
136	525	1392
137	528	1387
138	532	1383
139	536	1379
140	540	1377
141	544	1372
142	547	1367
143	551	1362
144	554	1357
145	557	1352
146	561	1347
147	564	1342
148	567	1337
149	571	1334
150	575	1330
151	578	1325
152	582	1320
153	585	1316
154	590	1314
155	593	1309
156	597	1304
157	600	1299
158	604	1296
159	608	1292
160	611	1287
161	614	1281
162	617	1277
163	621	1273
164	624	1268
165	628	1263
166	631	1259
167	635	1255
168	639	1252
169	643	1248
170	647	1246
171	651	1243
172	655	1238
173	658	1233
174	661	1228
175	664	1223
176	668	1219
177	671	1214
178	675	1210
179	678	1206
180	681	1201
181	685	1197
182	688	1193
183	691	1188
184	695	1183
185	698	1179
186	702	1175
187	705	1170
188	708	1165
189	711	1161
190	714	1156
191	718	1153
192	722	1149
193	725	1144
194	728	1139
195	731	1135
196	735	1131
197	738	1126
198	742	1122
199	745	1118
200	749	1114
201	752	1110
202	756	1106
203	759	1101
204	762	1097
205	766	1094
206	770	1089
207	773	1086
208	777	1082
209	780	1077
210	784	1074
211	787	1069
212	790	1065
213	793	1061
214	797	1056
215	800	1052
216	803	1048
217	806	1043
218	809	1039
219	813	1035
220	818	1032
221	821	1029
222	825	1025
223	828	1020
224	831	1016
225	834	1012
226	838	1007
227	841	1003
228	844	999
229	848	995
230	851	991
231	854	986
232	857	982
233	860	978
234	864	974
235	867	970
236	870	966
237	874	962
238	877	958
239	881	954
240	884	950
241	887	946
242	890	942
243	893	937
244	897	934
245	901	930
246	904	926
247	907	922
248	911	918
249	914	914
250	918	910
251	921	907
252	925	903
253	928	899
254	932	896
255	936	892
256	940	888
257	944	885
258	948	882
259	952	878
260	955	875
261	959	871
262	963	868
263	966	864
264	970	860
265	973	856
266	977	853
267	981	849
268	985	845
269	988	841
270	992	838
271	996	835
272	1000	831
273	1003	827
274	1007	823
275	1010	820
276	1015	817
277	1019	814
278	1025	811
279	1029	808
280	1033	805
281	1037	802
282	1041	798
283	1046	795
284	1050	792
285	1053	788
286	1057	785
287	1061	781
288	1065	777
289	1068	773
290	1071	769
291	1076	766
292	1080	763
293	1084	759
294	1088	756
295	1091	752
296	1095	748
297	1098	744
298	1101	740
299	1105	736
300	1109	733
301	1112	729
302	1115	725
303	1118	721
304	1122	717
305	1125	713
306	1129	709
307	1132	705
308	1135	701
309	1138	698
310	1142	694
311	1145	690
312	1148	686
313	1151	682
314	1155	678
315	1158	674
316	1162	670
317	1164	666
318	1168	662
319	1171	659
320	1175	655
321	1178	651
322	1181	647
323	1184	643
324	1188	640
325	1192	636
326	1196	632
327	1200	629
328	1204	625
329	1208	622
330	1212	618
331	1216	615
332	1219	611
333	1223	607
334	1226	604
335	1230	600
336	1233	596
337	1237	592
338	1240	589
339	1244	585
340	1247	581
341	1250	577
342	1254	574
343	1257	570
344	1260	566
345	1264	562
346	1267	559
347	1272	555
348	1276	552
349	1280	548
350	1284	545
351	1288	541
352	1292	538
353	1296	534
354	1299	530
355	1303	527
356	1306	523
357	1309	519
358	1313	515
359	1316	512
360	1320	508
361	1323	504
362	1326	500
363	1330	497
364	1334	493
365	1337	489
366	1341	486
367	1344	482
368	1347	478
369	1350	474
370	1354	470
371	1357	467
372	1360	463
373	1363	459
374	1367	455
375	1370	452
376	1373	448
377	1377	444
378	1380	440
379	1384	437
380	1387	433
381	1390	429
382	1394	425
383	1397	422
384	1401	418
385	1404	414
386	1408	411
387	1411	407
388	1415	403
389	1418	400
390	1421	396
391	1425	392
392	1428	388
393	1432	385
394	1435	381
395	1439	377
396	1442	374
397	1445	370
398	1449	366
399	1452	363
400	1455	359
